Entry,fasta_header,BL11,BL12,BL21,BL22,CF11,CF12,CF21,CF22,POOL1,POOL2,POOL3,POOL4,S111,S112,S121,S122,S711,S712,S721,S722,Entry_name,Status,Protein_names,Gene_names,Organism,Length,Gene_ontology_biological_process,Gene_ontology_cellular_component,Gene_ontology_GO,Gene_ontology_molecular_function,Gene_ontology_IDs,EC_number,Intramembrane,Subcellular_location_CC,Topological_domain,Transmembrane,expressed,BL_mean,BL_std,CF_mean,CF_std,S1_mean,S1_std,S7_mean,S7_std,CF_BL_fc,CF_BL_p_val,S1_BL_fc,S1_BL_p_val,S7_BL_fc,S7_BL_p_val
C5W331,sp|C5W331|RSMH_ECOBD,1418054.09332057,1450112.22165328,1400787.7505446002,1363609.20771035,1603419.71165807,1528083.92135234,1428903.74326174,1542182.85098984,1338861.31442103,1449656.39097212,1364643.76538661,1423873.94000654,1198714.36882391,1390367.89337918,1390655.47246248,1423339.13238708,1206199.98717597,1259512.20226873,1377773.95434957,1210740.43861071,RSMH_ECOBD,reviewed,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),rsmH mraW ECBD_3535 ECD_00083 B21_00082,Escherichia coli (strain B / BL21-DE3),313.0,rRNA base methylation [GO:0070475],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]; rRNA base methylation [GO:0070475],rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424],GO:0005737; GO:0070475; GO:0071424,2.1.1.199,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01007}.,,,not_exp,1408140.8183072,31212.992760230958,1525647.5568154973,62624.32705301051,1350769.2167631625,88806.0217819476,1263556.645601245,69176.02389224322,1.0834481445183575,0.027025873092693622,0.9592571987132602,0.3317668145348753,0.8973226464099187,0.016412182664857996
C5W716,sp|C5W716|NUOK_ECOBD,82522.867232708,84958.13874743889,84391.4129933847,104263.382759292,69160.234907377,92705.5187726708,81437.10123904691,88760.1625338175,79936.65080104269,85289.2936716075,82050.8975147827,83175.0469578676,70033.2130983448,104894.190792675,62502.9236602388,101144.676991913,64972.8968436657,73259.6224517479,84504.0180587398,60768.5200647969,NUOK_ECOBD,reviewed,NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K),nuoK B21_02164 ECBD_1382 ECD_02204,Escherichia coli (strain B / BL21-DE3),100.0,ATP synthesis coupled electron transport [GO:0042773],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773],NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038],GO:0005886; GO:0016021; GO:0042773; GO:0048038; GO:0050136,7.1.1.-,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01456}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01456}.,,TRANSMEM 4 24 Helical. {ECO:0000255|HAMAP-Rule:MF_01456}.; TRANSMEM 28 48 Helical. {ECO:0000255|HAMAP-Rule:MF_01456}.; TRANSMEM 60 80 Helical. {ECO:0000255|HAMAP-Rule:MF_01456}.,not_exp,89033.9504332059,8838.766998238763,83015.75436322806,8963.221025652441,84643.7511357929,18614.812136120025,70876.26435473758,9061.074845694886,0.9324056043711916,0.4393233380932669,0.9506907277948251,0.7247926169966755,0.7960588518186623,0.04750948478163124
C5W7S9,sp|C5W7S9|TRMN6_ECOBD,63979.7377349141,45516.150187244006,44907.942579426395,53331.029698073,79237.6702141897,75208.1047392221,65617.9730709154,59858.5929572566,54926.9575691285,60728.6518473429,63582.938054846796,52072.6713616246,50448.3868251683,41015.3908788563,58874.0795227428,40625.755345207996,48959.7125812374,38917.6924281407,56926.2711806966,54471.348720615,TRMN6_ECOBD,reviewed,tRNA1(Val) (adenine(37)-N6)-methyltransferase (EC 2.1.1.223) (tRNA m6A37 methyltransferase),yfiC ECBD_1105 ECD_02469 B21_02433,Escherichia coli (strain B / BL21-DE3),245.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; tRNA (adenine-N6-)-methyltransferase activity [GO:0016430],nucleic acid binding [GO:0003676]; tRNA (adenine-N6-)-methyltransferase activity [GO:0016430],GO:0003676; GO:0005737; GO:0016430,2.1.1.223,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01872}.,,,not_exp,51933.715049914375,7707.233101560099,69980.58524539594,7656.822040570713,47740.90314299385,7535.514706893658,49818.75622767243,6923.411977861591,1.3474981556419834,0.028160808921015454,0.9192660894201243,0.5255680269315401,0.9592758033926665,0.7357435793047797
C5W865,sp|C5W865|CYSI_ECOBD,34518889.0374867,31114662.605958004,28786710.1513214,28999692.207836896,29360988.5767195,27834793.508957695,27960348.8056916,28124668.6460357,23372675.946284197,23254629.0517568,23246073.836168103,23381231.161873,17013130.650151998,17295113.7599227,16411813.375518601,16610298.623009197,15389198.0761099,14834927.857123699,16613815.564531,14382230.602592902,CYSI_ECOBD,reviewed,Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2),cysI ECBD_0966 ECD_02608 B21_02571,Escherichia coli (strain B / BL21-DE3),570.0,cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103],sulfite reductase complex (NADPH) [GO:0009337],"sulfite reductase complex (NADPH) [GO:0009337]; 4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; sulfite reductase (NADPH) activity [GO:0004783]; cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]","4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; sulfite reductase (NADPH) activity [GO:0004783]",GO:0000103; GO:0004783; GO:0009337; GO:0019344; GO:0020037; GO:0046872; GO:0050661; GO:0051539; GO:0070814,1.8.1.2,,,,,not_exp,30854988.50065075,2302797.0736273783,28320199.884351123,609628.1070054198,16832589.102150626,343871.189125208,15305043.025089374,835547.5257090335,0.9178483370283491,0.11489104456312159,0.5455386606867676,4.5503229391421603e-05,0.4960313961797971,3.3649645015997776e-05
C5W8B2,sp|C5W8B2|RLMM_ECOBD,1188987.03604116,1231261.31316311,1211913.71110423,1191781.48251973,1104705.92959017,1196389.84842801,1148009.73792854,1226127.75428905,1208381.63059042,1174701.81467995,1216600.379137,1166483.06613337,1036569.0573018,1163236.0370292,1154578.76891686,1234690.74938053,1125182.32265684,1135947.49002708,1120852.46227704,1131341.7365403,RLMM_ECOBD,reviewed,Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM),rlmM ECBD_0916 ECD_02657 B21_02618,Escherichia coli (strain B / BL21-DE3),366.0,rRNA processing [GO:0006364],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; rRNA processing [GO:0006364],S-adenosylmethionine-dependent methyltransferase activity [GO:0008757],GO:0005737; GO:0006364; GO:0008757,2.1.1.186,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01551}.,,,not_exp,1205985.8857070575,17063.94083218673,1168808.3175589426,46335.611925600286,1147268.6531570975,71072.88261138265,1128331.002875315,5764.5067077058075,0.9691724682778372,0.23999260923590657,0.9513118410042297,0.2135015317482483,0.9356087962951455,0.0002975449318830256
C5WBK5,sp|C5WBK5|TRMA_ECOBD,2759432.23872654,2726427.22727999,2359605.25154498,2490602.07755401,2768334.50571673,3115110.51434018,3096902.85755865,2900517.49379105,2624083.26289365,2686309.27702492,2587336.45293192,2723056.08698665,2658505.30140136,2895692.08096392,2986262.81914434,2794726.3692896,2307742.99175346,2657463.84668316,2564073.64549331,2390251.47765413,TRMA_ECOBD,reviewed,tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase),trmA ECBD_4059 ECD_03850 B21_03799,Escherichia coli (strain B / BL21-DE3),366.0,,,S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697],S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697],GO:0030697,2.1.1.-; 2.1.1.35,,,,,not_exp,2584016.69877638,165935.34839757174,2970216.3428516523,143751.5214400331,2833796.642699805,121789.28610111722,2479882.9903960153,138102.32993549097,1.149457100744802,0.022602681913614833,1.0966634403104687,0.08027117030749947,0.9597008376804702,0.43545651236244654
C6ECL5,sp|C6ECL5|SPY_ECOBD,601278.5267134879,584698.1301386029,800475.87325044,685440.459721652,827139.973559847,846230.8163996959,815858.381182857,910227.496776395,608309.649096357,595508.705839211,609698.966669998,594119.388265571,438720.94434199,514962.40649411,423593.875788868,533596.95029665,434254.994813407,428119.870145651,452794.609531383,348263.267097789,SPY_ECOBD,reviewed,Periplasmic chaperone Spy (Spheroplast protein Y),spy ECBD_1902,Escherichia coli (strain B / BL21-DE3),161.0,,periplasmic space [GO:0042597],periplasmic space [GO:0042597],,GO:0042597,,,SUBCELLULAR LOCATION: Periplasm {ECO:0000250|UniProtKB:P77754}.,,,not_exp,667973.2474560457,85505.818933425,849864.1669796987,36502.44942063972,477718.5442304045,47328.09438321283,415858.18539705744,40069.20237941774,1.2723027010683117,0.014700685161239502,0.7151761631918343,0.01500825010501707,0.6225671267237719,0.0035987363180493915
C6EH62,sp|C6EH62|NLPI_ECOBD,310784.579440861,430968.07617103704,404686.06783504796,350635.970087071,394858.494418129,489982.395189015,411417.495798164,443151.664621339,408583.85607404204,416228.766270125,405102.38781086204,419710.234533305,387614.45616371604,366197.870969697,409743.95754543104,374266.171864295,358083.13526103296,800587.7727716609,606420.908840199,367325.328691061,NLPI_ECOBD,reviewed,Lipoprotein NlpI,nlpI B21_02981 ECBD_0577 ECD_03030,Escherichia coli (strain B / BL21-DE3),294.0,cell cycle [GO:0007049]; cell division [GO:0051301],plasma membrane [GO:0005886],plasma membrane [GO:0005886]; cell cycle [GO:0007049]; cell division [GO:0051301],,GO:0005886; GO:0007049; GO:0051301,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}.,,,not_exp,374268.67338350427,46713.95672199927,434852.51250666176,36252.24607312643,384455.6141357848,16482.17609028364,533104.2863909885,183737.45451911032,1.1618725889491657,0.12631355358038923,1.0272182565005707,0.733889222095341,1.4243892804908338,0.1969373478189076
A0A140N1P7,tr|A0A140N1P7|A0A140N1P7_ECOBD,7087500.3943711,6481951.80022811,5849582.33082953,6134179.79707414,5862839.71662166,5519152.60102794,6028702.59515041,5690350.1108015,5853362.71926528,5881880.08204985,5751899.45212978,5983343.34918536,5013136.21531398,5077546.8604593,4950898.94538823,5250552.87707112,6446145.77799566,5811338.56263594,5844682.46564424,6230603.44504746,A0A140N1P7_ECOBD,unreviewed,Cof-like hydrolase,ECBD_0006,Escherichia coli (strain B / BL21-DE3),270.0,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],GO:0016787,,,,,,not_exp,6388303.580625719,461639.9180462322,5775261.255900377,190199.92434654845,5073033.724558158,111845.91387387148,6083192.562830825,266578.6321502027,0.9040367576480616,0.07756492303173848,0.7941128126633684,0.0030128236156212163,0.9522391173268242,0.3597966778121982
A0A140N1Q5,tr|A0A140N1Q5|A0A140N1Q5_ECOBD,7769394.40217257,6467761.25725405,3496196.36935159,3569321.05788377,13378795.8870187,11261582.7600102,9724952.05804332,9685882.57977434,8036649.57048106,8202341.39944644,7894681.40171969,8344309.56820781,10583453.046232302,8438455.67273319,9604429.87573999,8545412.89551189,10456566.764472999,7897857.03558967,5911393.92015506,5952896.81060718,A0A140N1Q5_ECOBD,unreviewed,Small heat shock protein IbpA (16 kDa heat shock protein A),ibpA ECBD_0016,Escherichia coli (strain B / BL21-DE3),137.0,protein stabilization [GO:0050821],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; protein stabilization [GO:0050821],,GO:0005737; GO:0050821,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_02000}.,,,not_exp,5325668.271665495,1851208.8459550254,11012803.321211642,1506576.5464061184,9292937.872554343,873411.4297762505,7554678.632706227,1857741.626115281,2.067872567242648,0.006167273283075177,1.7449336681362928,0.015285809452935674,1.4185409693840458,0.1914134039451064
A0A140N1Y4,tr|A0A140N1Y4|A0A140N1Y4_ECOBD,12202780.900643302,14601989.600686802,14824563.0264815,13910629.156194597,9224482.50467418,10612755.1255286,12399424.6580954,11896810.1791849,10327817.950018,10528049.529207598,10275620.6784371,10580246.8007885,6176640.96146415,9783785.76885919,8195837.61991724,8891304.20241252,7136231.09578537,8697991.36067433,8625309.39334223,6897141.75663458,A0A140N1Y4_ECOBD,unreviewed,L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103),tdh ECBD_0109,Escherichia coli (strain B / BL21-DE3),341.0,L-threonine catabolic process to glycine [GO:0019518],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; L-threonine 3-dehydrogenase activity [GO:0008743]; zinc ion binding [GO:0008270]; L-threonine catabolic process to glycine [GO:0019518],L-threonine 3-dehydrogenase activity [GO:0008743]; zinc ion binding [GO:0008270],GO:0005737; GO:0008270; GO:0008743; GO:0019518,1.1.1.103,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00627, ECO:0000256|SAAS:SAAS00322478}.",,,not_exp,13884990.67100155,1028028.5404311109,11033368.11687077,1230916.8448044655,8261892.138163275,1328999.1947966986,7839168.4016091265,827213.6346889752,0.7946255333043672,0.02166959538965534,0.5950232401248945,0.0011549441838759604,0.5645785861405749,0.00021273416078358034
A0A140N1Z5,tr|A0A140N1Z5|A0A140N1Z5_ECOBD,660472.181721538,604262.558680475,561949.565155228,572808.179263229,656412.320541551,559704.353610498,577925.905759879,566562.317535605,550950.443087881,568641.428283934,551612.614297622,567979.257074193,509091.325565851,503042.09313139797,471782.448195125,518852.55280115706,476154.59977002797,497767.804818134,487471.178797649,477484.79744656704,A0A140N1Z5_ECOBD,unreviewed,tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL),trmL ECBD_0119,Escherichia coli (strain B / BL21-DE3),157.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA methyltransferase activity [GO:0008175],RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA methyltransferase activity [GO:0008175],GO:0003723; GO:0005737; GO:0008175; GO:0008757,2.1.1.207,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01885}.,,,not_exp,599873.1212051176,38282.56941027393,590151.2243618832,38805.41117441639,500692.10492338275,17618.452480607746,484719.5952080945,8711.033689840371,0.9837934114739072,0.7678362847286547,0.8346633433375299,0.006528857612844075,0.808036863252541,0.0022652489227910485
