Accession,Description,POOL1,CF11,BL22,S112,S721,POOL2,CF21,BL11,S122,S712,S722,S111,BL21,CF12,POOL3,S711,S121,BL12,CF22,POOL4
CONT_101|gi|125081|sp|P19012|K1CO_HUMAN,"KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_102|gi|88044|pir||S01068 (+1),"keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_123|gi|125091|sp|P25690|K1M2_SHEEP (+1),"KERATIN, TYPE I MICROFIBRILLAR, 47.6 KD (LOW-SULFUR KERATIN) [Ovis aries].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN,"KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_142|gi|88053|pir||A29666,"keratin, 65K type II cytoskeletal [Homo sapiens].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14618.199219999999,8841.987305,17527.31641,15774.44238,20618.12891,16358.10449,16481.62109,19148.85547,20791.09766,19864.39063
CONT_152|gi|2135530|pir||S60034 (+1),"keratin Ha1, type I, hair [Homo sapiens].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_153|gi|1181994 (+1),(X81419) hair type I acidic keratin [Homo sapiens].,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRA_0016,"[sp|O76013|KRT36_HUMAN] Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=1 SV=1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273159.9688,347254.1563,574543.6875,355237.625,435626.4375,322115.0,404958.9375,537168.6875,435740.6563,386809.0625
EXTRA_0117 (+1),[sp|00001|Release] Factor 3,36017121.09,10013921.45,14510536.35,10113302.36,93123633.35,36839355.62,16525062.41,16391233.83,11179436.37,104441546.5,98484058.64,11047386.47,19822495.86,13798360.97,37746682.94,140034763.5,16005746.64,22027310.95,13053672.33,40137697.14
EXTRA_0118,[sp|00002|EF-Tu],770501861.6,310187808.7,430182262.3,1198104084.0,873048144.7,830043158.1,387244640.5,466904825.7,1272716369.0,835745082.6,1042188640.0,1608112345.0,538468588.5,424059344.2,950036046.9,1326622584.0,1605426019.0,541229488.5,398029849.8,976137991.6
EXTRA_0119,[sp|00003|EF-Ts],800444856.4,99746806.77,171238389.0,1605665716.0,993902736.3,861816849.5,199699635.1,171452964.4,1608940071.0,1051738575.0,1177428406.0,1830278963.0,225703561.2,244085701.7,919339801.1,1436986137.0,1916725336.0,227928935.9,189872694.8,935322866.3
EXTRA_0121,[sp|00005|Elongation] Factor 4,30534691.67,11341942.35,16040140.07,9947476.33,75965087.55,31076013.57,16621994.31,17004741.76,11031401.15,83006550.39,79858804.82,10177593.95,18949713.28,13991248.07,32187529.27,102104042.3,14833056.83,19722989.24,12719358.32,34272451.89
EXTRA_0125,[sp|00009|Initiation] Factor 3,54204231.86,41816259.43,28264399.95,23368601.74,113615682.9,53227231.13,48873012.94,31281183.27,22908979.14,99320401.93,190741566.3,33066645.64,50092240.37,62740220.05,82628436.01,198111192.1,41598921.9,48812286.89,63363821.35,86203203.26
EXTRA_0126,[sp|00010|Elongation] Factor G,489285264.4,255357260.9,310711381.3,247115159.2,1061750586.0,495944651.7,316251509.7,367626618.5,272869128.7,937890350.9,1226745514.0,306140680.7,390445933.6,300269746.9,564817273.2,1418880986.0,354213177.0,414940937.5,290736023.7,594537353.6
EXTRA_0127,[sp|00011|Initiation] Factor 1,51978165.6,7141880.046,13119442.66,4222988.223,173185311.9,51632192.61,17739619.0,14570969.66,8321504.562999999,171790406.9,150826250.3,4440832.65,17213875.1,8584151.701,45211885.11,155572883.7,11658265.5,16418177.3,7094039.728999999,49116323.3
EXTRA_0130,[sp|00014|Cyan] Fluorescent Protein,260156626.8,858451704.4,33523012.87,73456156.7,30334790.2,236618611.8,1005180659.0,21335963.04,52309782.2,2644114.0409999997,4803984.527,10654012.76,7289741.032000001,850549324.6,215939330.4,59800161.07,47319026.72,2857514.837,922568408.9,241670790.8
REV_A0A140N4C7,REVERSED.,375973.3867,388310.8945,367716.1953,305137.7656,323991.1328,462220.66799999995,453081.4961,495490.1289,423779.6641,299548.3633,51068.11719,46460.38672,65151.234379999994,42748.53906,64993.02734,76492.09375,57534.67578,74904.85938,54665.55469,51138.20313
REV_A0A140N4K3,REVERSED.,1841309.25,2144838.336,2588736.602,1163710.4340000001,1235438.2659999998,1753725.8669999999,2165059.66,2865571.023,1126172.801,942395.0195,2186844.75,2934124.5,4603759.5,4286492.0,3731317.5,3471778.0,2828271.75,4001031.0,4672055.5,3585063.25
REV_A0A140N4S5,REVERSED.,85131.45702999999,127314.6558,111844.0071,103096.3931,56629.01086,71710.09009,287276.1553,39191.60352,69231.83398,49578.50781,72435.6958,38721.319339999995,77565.79053,155611.6904,65351.80225,86829.66431000001,70025.52686,55763.40307000001,116836.3115,67915.67334
REV_A0A140N4T4,REVERSED.,619202.6875,343103.2813,999921.9375,439664.0313,415735.5625,688100.9375,516263.2813,603904.875,573983.9375,806766.875,593444.25,242546.2969,1240798.375,506296.25,906493.8125,733070.8125,556785.3125,1693280.625,699191.9375,1033426.688
REV_A0A140N5C8,REVERSED.,173146.4551,216811.4434,153051.2344,187217.2539,177382.8574,210182.2871,235493.5605,208309.3945,192470.0957,137296.3633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140N6I8,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270765.2188,175360.0664,259606.0547,304931.9453,311621.2969,264176.3672,273268.9219,313774.1094,282538.2734,420877.5313
REV_A0A140N6N3,REVERSED.,19057.23633,20761.21777,29866.497560000003,26622.03516,27160.96777,24155.56506,24745.91211,30617.61133,26266.98975,23908.222169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140N6X1,REVERSED.,587979.0762,57456.2207,129796.3906,21043.60352,1832255.8869999999,600332.8359,180928.2578,171601.2773,70793.56836,2168195.566,3225690.75,118010.3438,312631.9375,126271.5,964105.3125,4558961.0,194117.1563,339469.5938,52210.4375,979989.625
REV_A0A140N745,REVERSED.,400543.0781,525150.6719,468059.6563,317764.5625,332962.4531,438649.2656,460431.6094,557546.5938,350461.0781,306167.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140N7F8,REVERSED.,388808.75,132211.0,264774.7188,707400.8125,439382.7188,439116.0938,239300.7969,199605.0313,734263.875,539225.0625,1125152.469,1078693.219,585883.125,452592.1719,1038741.469,1208344.594,1823317.688,671459.6563,485732.125,1074983.906
REV_A0A140N818,REVERSED.,95160.33984,114710.8789,94879.82422000001,99169.92577999999,88022.42187,90985.68359,134668.3281,96186.95117,100957.1055,74061.81641,24189.14063,26291.38867,23832.58398,34287.03906,26232.69336,32226.11328,36327.06641,27715.63086,28444.45313,68386.64844
REV_A0A140N8F7,REVERSED.,31537.890139999996,28605.331060000004,33755.04346,34498.655269999996,30448.07227,32985.02734,36660.44922,34404.51074,29406.498539999997,32303.7959,44669.71875,53956.671879999994,55036.37891,42018.3125,52567.48047,52959.8125,60585.16797,51343.99219,52052.51563,64133.37891
REV_A0A140N8G8,REVERSED.,163470.2969,88792.41211,125300.5996,237006.2969,149111.9727,192042.6836,114320.4277,129146.8965,248472.6211,189675.2734,176338.0664,205252.8242,121377.1445,116448.7878,167457.3867,212605.1914,271424.038,129349.5114,120173.5669,191134.9404
REV_A0A140N974,REVERSED.,129532.7109,54565.877870000004,68364.20117,474274.9177,167555.0396,152560.9531,87192.18079,63890.416020000004,124474.1914,127479.1418,192951.8086,188698.5469,70111.85547000001,119549.8398,319426.8906,166310.1992,356091.4688,52071.55371,48690.99219,114264.4277
REV_A0A140N988,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5806.6268310000005,6091.3067630000005,5976.040039,3901.250976,7122.914795000001,6513.614014,6411.661743,5486.417969,3123.2392579999996,7395.989745999999
REV_A0A140N9R6,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46502.75391,52983.60156,88911.92188,88774.0625,72157.10938,59287.31641,69882.03516,79609.52344,83184.19141,81349.91016
REV_A0A140NA18,REVERSED.,33052.703610000004,47032.62134,30914.38721,17340.35425,23502.21802,34402.5282,44033.80908,61946.07117,20850.71289,23827.96692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NA61,REVERSED.,18336.48584,27763.82275,24895.53369,16250.567869999999,13140.31958,24815.92578,18382.24121,28763.983889999996,21303.44824,14185.90967,11551.0127,14665.16406,14748.37695,16042.83789,15460.375,21489.5293,8108.195312000001,14145.4082,16326.078130000002,15311.24414
REV_A0A140NAC5,REVERSED.,176073.6563,118534.5605,212630.6406,157873.2969,142501.5352,184781.8242,277778.5859,128423.5957,137355.6621,141070.5088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NAC6,REVERSED.,957655.9375,916850.8125,880453.875,697055.0625,734708.625,934081.8125,882011.5,1094384.125,969754.5625,754429.625,1621436.625,1540030.5,1891713.875,1474176.375,1976504.375,2314824.75,1899297.125,2148483.5,1688934.75,1608747.125
REV_A0A140NAD2,REVERSED.,210840.4805,196385.3535,248538.8223,365546.9844,230514.5391,269735.3047,254539.5586,224068.0938,315675.4531,601446.4531,147795.625,218792.1914,180412.0195,116529.2891,206788.8906,195356.4297,331144.6719,198614.4414,131252.7188,540944.0078
REV_A0A140NAK7,REVERSED.,293172.0898,361720.6411,284782.0366,242739.6152,277067.168,329455.1729,349761.27,376497.6929,240211.6582,218289.6362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NAL6,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28908.748539999997,33480.48047,26991.0957,37653.20947,50667.44726,40074.57031,49728.06738,28946.482910000002,45887.38672,42873.674810000004
REV_A0A140NB10,REVERSED.,1187317.98,1232590.15,1490983.5,861646.1641,956739.8262,1213591.285,1360757.3090000001,1493845.781,959899.8672,799950.5918,83014.35156,91698.0625,84765.41406,83925.16406,96524.40625,111321.6016,104280.9219,94231.90625,84688.97656,103155.3359
REV_A0A140NBH1,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560776.623,1073847.8909999998,1438059.628,1036542.795,2006844.1909999999,5116607.14,1275980.207,1488269.871,1076214.645,1958273.283
REV_A0A140NBI4,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22434.945069999998,24614.639890000002,27134.58203,26101.73486,34715.50195,35566.0564,30589.406010000002,29652.63098,27090.73023,30759.533689999997
REV_A0A140NBN5,REVERSED.,147679.6563,174473.6318,163552.5166,121527.7793,139360.5576,157405.9131,166800.1943,172145.8926,138164.6563,124014.6064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NBR4,REVERSED.,39397.65918,44978.83887,41712.703610000004,37916.778080000004,41688.82617,43090.163089999995,42233.27588,37652.27051,32273.64526,38216.59668,15984.333980000001,8241.785156,51830.85938,24707.39844,26948.35742,16093.24414,26500.93164,45660.16406,26719.74219,29829.99414
REV_A0A140NBV0,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13399.61523,13421.53125,22669.44482,17258.79944,20518.40625,19339.54102,15042.796269999999,23484.4082,20971.156740000002,20344.90088
REV_A0A140NC56,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695687.8125,640857.875,1115029.5,968095.75,965112.375,920272.4375,789619.875,1152151.375,1040052.688,1023342.438
REV_A0A140NCH0,REVERSED.,139930.3345,150983.7617,231593.0029,119681.9795,124332.4331,167420.3457,179715.71,219855.3213,120603.5884,108628.3123,17256.62012,22438.084469999998,26466.089359999998,36398.049810000004,23584.6294,18887.622069999998,24296.46875,17617.2793,23233.88623,19176.00635
REV_A0A140NCL4,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25232.25,42168.40234,128913.2813,43862.99219,61354.79297,61759.98828,41527.66406,69886.40625,51468.64063,82636.57813
REV_A0A140NCQ0,REVERSED.,129240.9238,61638.86621,126150.5,89540.17383,180311.8887,132061.6523,103963.5625,87704.51172000001,92107.53711,276826.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NCR6,REVERSED.,55654.45166,52595.31592,77356.23071,83456.03259,98404.63452,66150.14893,102016.4055,53906.87756,51834.09534,50773.635989999995,3308.267334,2191.404785,4654.912109000001,2412.639893,5889.141602000001,3717.141602,4499.274414,5423.071777,4074.570557,6149.213867
REV_A0A140NDA1,REVERSED.,524551.0938,465363.2188,495887.3477,457265.91799999995,479106.1289,500657.9727,501952.0625,561844.3203,525759.543,457524.2617,448043.4141,531122.0156,464558.3438,460222.8125,543408.1328,598091.5625,533393.375,469133.9141,452303.4219,537483.5234
REV_A0A140NDA2,REVERSED.,32003.61914,34870.85547,33805.33594,30531.4375,33784.25,40519.99609,34794.51563,40911.72656,34537.97656,36275.71875,19204.02539,46601.11719,23946.15625,23376.58594,26568.33008,33136.16016,27226.691410000003,30717.95117,22156.88281,29633.21875
REV_A0A140NDB0,REVERSED.,34142.23828,41879.58203,33817.75,29187.0,31064.60352,38057.92969,38246.89063,41499.23438,34442.03125,29105.09375,179475.1699,166316.7656,180231.4375,198868.832,182648.0664,188140.4922,178037.4727,195735.4492,205537.6328,208571.957
REV_A0A140NDB2,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226259.75,40329.91223,132448.6357,75420.65063999999,340931.9097,1618915.868,88492.70312,153991.9966,51298.0105,486205.5325
REV_A0A140NDM8,REVERSED.,230248.3594,251318.1094,368953.4375,187512.5781,234653.3125,231845.3281,308051.8438,324121.6563,180342.6406,170474.75,278501.5801,241401.4336,578893.749,487877.1738,448425.8379,363992.0127,299838.6924,556467.5083,535154.0381,450945.0508
REV_A0A140NE43,REVERSED.,515142.74799999996,604347.1074,198720.12399999998,526555.166,587372.3809,550216.834,746398.8262,211150.3311,582922.0547,528947.3965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NE66,REVERSED.,12299.75977,11324.86328,24273.627930000002,10023.38135,5205.639647999999,11631.82422,16363.62061,16313.24121,7186.884643,9077.739991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NEF1,REVERSED.,99320.71484,90156.03906,167922.2148,71792.21289,94707.66992,97577.02344,102532.1328,130706.9297,63760.53125,102158.1777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NEI5,REVERSED.,2126.091064,150.0,150.0,150.0,1368.19751,963.586365,1032.8592529999999,1006.966797,150.0,150.0,23958.60938,52286.11719,21401.69922,64341.64844,22988.51172,26193.82813,53672.07813,15003.88379,43424.10156,30773.539060000003
REV_A0A140NEY8,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226735.7578,253354.6875,161793.7773,170037.8828,235928.6641,307509.2422,300563.1328,205963.1914,163427.6055,240248.2422
REV_A0A140NFK0,REVERSED.,57102.78516,71135.78613,82059.33399,69618.96094,66553.0166,60293.265629999994,97485.82128999999,72680.51758,63241.74902,46122.45703,139744.6563,147729.6719,154089.7969,149349.0156,150308.5,156468.3906,155598.8438,157563.7188,138817.8125,151238.4844
REV_A0A140NFX8,REVERSED.,68410.99023,64271.36524,93811.62305,68249.79688,68010.3457,79932.38281,75009.51172000001,104985.4766,63673.788089999995,55953.84766,16532.375,24121.94922,19483.51367,36500.64453,18452.08398,18813.19727,33969.79688,11759.6875,27148.55078,18559.63281
REV_A0A140NFY3,REVERSED.,23412.55469,16979.21484,22746.16406,25566.36523,17237.51563,23059.81445,28778.26172,21970.5918,27373.32227,17518.71289,54490.537110000005,79778.90234,71154.46094,104370.2461,80431.95313,88089.28906,83709.66211,70876.44922000001,100751.6953,289420.7617
REV_A0A140NGU5,REVERSED.,90457.64404,94454.09277,101108.4468,89578.56787,86179.76952999999,96312.3418,92786.76563,105749.1667,80561.45923,72509.65454,34135.42578,17512.00586,30512.67188,34878.24219,26617.17969,17808.00391,65230.74219,23639.65625,31976.67578,20540.54688
REV_A0A140NGV6,REVERSED.,118491.7695,129720.3945,117382.5605,107878.752,117295.4395,139593.12300000002,131071.625,136242.2598,125542.7344,103006.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_A0A140NH27,REVERSED.,447776.6602,429574.9688,100253.2773,642812.3379,434440.7891,513680.7813,1014451.6020000001,94082.28906,624511.6855,701147.627,130335.9883,167597.8887,135196.5723,163381.4688,130214.3652,176418.6406,149588.8047,142567.9668,166122.0391,228779.1055
REV_A0A140NHI6,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846700.4385,610022.1929,842762.0386,1416935.486,686837.4429,657168.7876,1457617.084,652682.499,1118659.598,670233.2603
REV_A0A140SS70,REVERSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4081.6890869999997,5414.010376,4751.833984000001,3366.9023439999996,5222.132568999999,3651.217773,4406.052979,5353.173768,4421.87384,4084.85852
REV_CONT_050 (+1),REVERSED.,1972880.8909999998,1866531.7380000001,2109927.758,1981453.605,1874200.0659999999,2053964.3630000001,1869114.73,1978040.2580000001,2143446.559,1988552.551,561032.874,611370.3137,611227.6095,712963.2971,702313.5745,736624.0073,671170.8413,672332.8639,738868.8281,759752.5707
REV_CONT_068 (+1),REVERSED.,160758.6875,185548.0703,171660.2852,128841.8594,145508.7109,177410.2891,205495.5156,214881.2734,142696.7578,130043.3516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REV_CONT_118 (+2),REVERSED.,297805.2051,281279.5508,371105.6445,291412.1914,254256.5293,313843.2207,330694.6895,363320.6504,266461.2207,228992.2109,212987.2422,222801.4844,319251.5332,244571.6543,304793.8477,272091.8594,264979.8613,343737.1816,263611.127,307182.4941
REV_CONT_173 (+1),REVERSED.,9765.599609,14763.07031,12431.43457,9906.125,8662.563477,10289.11523,14422.98145,9374.78125,18106.91602,35419.00391,38989.61328,22524.10547,63753.80078,38971.56641,56182.46094,44642.31641,57782.28125,98227.63281,55331.30859,46391.14453
REV_EXTRA_0039,REVERSED.,446720.6563,456681.8438,1157721.875,231748.2188,245111.375,542117.5,445480.0938,1332359.25,272338.5,186386.2188,188233.8672,227191.3164,1091694.863,300746.4844,506932.1797,265539.127,228263.9434,881748.5137,412911.08200000005,466145.4961
REV_EXTRA_0105,REVERSED.,586918.8125,391283.9063,692273.9375,709631.125,550145.0625,685317.1875,643074.9375,507589.1875,804514.6875,850173.5625,1012150.72,585314.2773,1076082.992,1034320.098,1145785.852,999729.4912,1280799.975,1423227.805,1078502.021,1240873.498
sp|A0A140N5J7|KDSC_ECOBD,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=kdsC PE=1 SV=1,1197505.246,1161985.48,1300411.104,1059495.656,1069533.22,1315192.144,1435611.871,1474202.5869999998,1284543.936,841699.3652,906876.6917,1064089.2240000002,1197528.905,1148800.513,1260281.326,1249176.986,1041071.873,1176486.744,1350378.5,1344335.303
sp|A0A140NDS5|YAFV_ECOBD,Omega-amidase YafV OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=yafV PE=1 SV=1,41781.03882,45252.112310000004,52439.052,27738.06482,29964.724980000003,38074.87036,57181.93774,49433.702639999996,27512.08765,27647.38403,66486.14063,73255.52344,94765.60156,99723.86719,95534.11719,86389.04688,72947.38281,99637.32813,107813.4453,93135.42188
sp|C5W331|RSMH_ECOBD,Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rsmH PE=3 SV=1,1309718.855,1512403.311,1494292.26,1178911.5320000001,1273344.178,1481000.1409999998,1476623.721,1613090.39,1274424.344,1056490.774,1084427.55,1041801.895,1562942.9219999998,1463206.565,1433606.459,1376033.2780000002,1360021.1409999998,1616602.479,1560418.985,1549619.486
sp|C5W716|NUOK_ECOBD,NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=nuoK PE=1 SV=1,61313.66992000001,51150.01172,89587.27149,69738.37109,61237.02344,68320.875,65986.94922000001,73605.30077999999,71009.68359,48183.337889999995,69415.95092999999,77625.53516,120088.1528,113212.6997,109932.24900000001,94530.72119,77957.43945,120791.8799,114539.3115,115445.6851
sp|C5W7S9|TRMN6_ECOBD,tRNA1(Val) (adenine(37)-N6)-methyltransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=yfiC PE=3 SV=1,40986.85156,57012.30859,44580.21094,26528.63281,40132.58203,47326.04297,51725.67969,55516.859379999994,27747.48633,24901.58203,63958.91601,57477.806639999995,65686.69531,94407.51172000001,87565.83984,73220.375,75480.31641,66519.75195,79399.05469,74292.82227
sp|C5W865|CYSI_ECOBD,Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=cysI PE=3 SV=1,21855130.82,26472414.92,30376763.24,14017720.44,14677081.55,22709204.83,27619253.6,37534030.44,14216267.78,11894638.68,13476380.24,15468606.19,33601628.95,27883285.97,25548051.36,18366361.2,16791140.44,36288100.67,29770784.88,26620635.38
sp|C5W8B2|RLMM_ECOBD,Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rlmM PE=3 SV=1,1293962.863,1140623.453,1429609.6330000001,1079678.727,1133943.713,1313689.945,1298636.633,1480533.4919999999,1210149.635,1043029.9920000001,925695.3721,822986.0269,1235285.293,1046540.2679999999,1167571.244,1172620.027,1031512.432,1253939.695,1133354.748,1159729.635
sp|C5WBK5|TRMA_ECOBD,tRNA/tmRNA (uracil-C(5))-methyltransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=trmA PE=3 SV=1,2810494.248,2858917.151,2988220.018,2688230.269,2594543.367,3004752.05,3503943.16,3436752.3860000004,2739728.7339999997,2440581.401,1955376.929,2110300.781,2404625.974,2724390.083,2482566.885,2404553.5609999998,2667420.806,2776086.1210000003,2680515.003,2706746.046
