Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length,Gene_ontology_biological_process,Gene_ontology_cellular_component,Gene_ontology_GO,Gene_ontology_molecular_function,Gene_ontology_IDs,EC_number,Intramembrane,Subcellular_location_CC,Topological_domain,Transmembrane
A0A140ND06,A0A140ND06_ECOBD,unreviewed,Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating]),mhpF ECBD_3306,Escherichia coli (strain B / BL21-DE3),316,3-phenylpropionate catabolic process [GO:0019380],,acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; NAD binding [GO:0051287]; 3-phenylpropionate catabolic process [GO:0019380],acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; NAD binding [GO:0051287],GO:0008774; GO:0019380; GO:0051287,1.2.1.10,,,,
A0A140N915,A0A140N915_ECOBD,unreviewed,3-phenylpropionate/cinnamic acid dioxygenase subunit beta (EC 1.14.12.19),hcaF ECBD_1145,Escherichia coli (strain B / BL21-DE3),172,3-phenylpropionate catabolic process [GO:0019380],,3-phenylpropionate dioxygenase activity [GO:0008695]; 3-phenylpropionate catabolic process [GO:0019380],3-phenylpropionate dioxygenase activity [GO:0008695],GO:0008695; GO:0019380,1.14.12.19,,,,
A0A140NAF6,A0A140NAF6_ECOBD,unreviewed,2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase),mhpD ECBD_3307,Escherichia coli (strain B / BL21-DE3),269,3-phenylpropionate catabolic process [GO:0019380],,2-oxopent-4-enoate hydratase activity [GO:0008684]; manganese ion binding [GO:0030145]; 3-phenylpropionate catabolic process [GO:0019380],2-oxopent-4-enoate hydratase activity [GO:0008684]; manganese ion binding [GO:0030145],GO:0008684; GO:0019380; GO:0030145,4.2.1.80,,,,
A0A140NFK3,A0A140NFK3_ECOBD,unreviewed,4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase),mhpE ECBD_3305,Escherichia coli (strain B / BL21-DE3),337,3-phenylpropionate catabolic process [GO:0019380],,4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145]; 3-phenylpropionate catabolic process [GO:0019380],4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145],GO:0008701; GO:0019380; GO:0030145,4.1.3.39,,,,
A0A140N8Y6,A0A140N8Y6_ECOBD,unreviewed,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECBD_1143,Escherichia coli (strain B / BL21-DE3),270,3-phenylpropionate catabolic process [GO:0019380],,"2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity [GO:0018498]; 3-phenylpropionate catabolic process [GO:0019380]","2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity [GO:0018498]",GO:0018498; GO:0019380,1.3.1.87,,,,
A0A140NDT3,A0A140NDT3_ECOBD,unreviewed,L-carnitine/gamma-butyrobetaine antiporter,caiT ECBD_3575,Escherichia coli (strain B / BL21-DE3),504,4-(trimethylammonio)butanoate transport [GO:1900751]; carnitine metabolic process [GO:0009437],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; (R)-carnitine:4-(trimethylammonio)butanoate antiporter activity [GO:0044667]; 4-(trimethylammonio)butanoate transport [GO:1900751]; carnitine metabolic process [GO:0009437],(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity [GO:0044667],GO:0005886; GO:0009437; GO:0016021; GO:0044667; GO:1900751,,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01049}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01049}.,,TRANSMEM 12 30 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 50 71 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 91 116 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 145 163 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 195 216 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 228 251 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 263 286 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 318 335 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 347 366 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 406 425 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 446 466 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.; TRANSMEM 472 495 Helical. {ECO:0000256|HAMAP-Rule:MF_01049}.
A0A140N779,A0A140N779_ECOBD,unreviewed,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase),arnC ECBD_1405,Escherichia coli (strain B / BL21-DE3),322,4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase activity [GO:0099621]; 4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]","phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase activity [GO:0099621]",GO:0005886; GO:0009103; GO:0009245; GO:0016021; GO:0016780; GO:0036108; GO:0046677; GO:0099621,2.4.2.53,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01164}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01164}.,,TRANSMEM 238 259 Helical. {ECO:0000256|HAMAP-Rule:MF_01164}.; TRANSMEM 271 295 Helical. {ECO:0000256|HAMAP-Rule:MF_01164}.
A0A140N7R5,A0A140N7R5_ECOBD,unreviewed,Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3),arnD ECBD_1403,Escherichia coli (strain B / BL21-DE3),296,4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677],,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; 4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]",GO:0009103; GO:0009245; GO:0016811; GO:0036108; GO:0046677,3.5.1.n3,,,,
A0A140NG13,A0A140NG13_ECOBD,unreviewed,"4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, HpaG1 subunit (EC 5.3.3.10)",ECBD_3666,Escherichia coli (strain B / BL21-DE3),429,4-hydroxyphenylacetate catabolic process [GO:1901023],,"5-carboxymethyl-2-hydroxymuconate delta-isomerase activity [GO:0008704]; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity [GO:0018800]; 4-hydroxyphenylacetate catabolic process [GO:1901023]","5-carboxymethyl-2-hydroxymuconate delta-isomerase activity [GO:0008704]; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity [GO:0018800]",GO:0008704; GO:0018800; GO:1901023,5.3.3.10,,,,
A0A140NC89,A0A140NC89_ECOBD,unreviewed,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase,ECBD_3667,Escherichia coli (strain B / BL21-DE3),488,4-hydroxyphenylacetate catabolic process [GO:1901023],,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase activity [GO:0018480]; 4-hydroxyphenylacetate catabolic process [GO:1901023],5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase activity [GO:0018480],GO:0018480; GO:1901023,,,,,
A0A140NBF9,A0A140NBF9_ECOBD,unreviewed,4-hydroxyphenylacetate transporter,ECBD_3672,Escherichia coli (strain B / BL21-DE3),458,4-hydroxyphenylacetate transport [GO:1900754],integral component of plasma membrane [GO:0005887],integral component of plasma membrane [GO:0005887]; 4-hydroxyphenylacetate transmembrane transporter activity [GO:1901241]; 4-hydroxyphenylacetate transport [GO:1900754],4-hydroxyphenylacetate transmembrane transporter activity [GO:1901241],GO:0005887; GO:1900754; GO:1901241,,,,,TRANSMEM 32 49 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 69 90 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 102 121 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 127 150 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 162 184 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 196 216 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 266 291 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 306 326 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 338 356 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 362 383 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 395 416 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 428 447 Helical. {ECO:0000256|SAM:Phobius}.
A0A140NEF7,A0A140NEF7_ECOBD,unreviewed,Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase),deoB ECBD_3637,Escherichia coli (strain B / BL21-DE3),407,5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; cellular metabolic compound salvage [GO:0043094]; deoxyribonucleotide catabolic process [GO:0009264],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphopentomutase activity [GO:0008973]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; cellular metabolic compound salvage [GO:0043094]; deoxyribonucleotide catabolic process [GO:0009264],magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphopentomutase activity [GO:0008973],GO:0000287; GO:0005737; GO:0006015; GO:0008973; GO:0009264; GO:0030145; GO:0043094,5.4.2.7,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00740, ECO:0000256|SAAS:SAAS00847414}.",,
A0A140NCS9,A0A140NCS9_ECOBD,unreviewed,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),prs ECBD_2414,Escherichia coli (strain B / BL21-DE3),337,5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156],ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749],GO:0000287; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0009116; GO:0009156; GO:0009165; GO:0016301,2.7.6.1,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00583}.,,
A0A140ND00,A0A140ND00_ECOBD,unreviewed,"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)",phnN ECBD_3936,Escherichia coli (strain B / BL21-DE3),185,5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; organic phosphonate metabolic process [GO:0019634],,"ATP binding [GO:0005524]; ribose 1,5-bisphosphate phosphokinase activity [GO:0033863]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; organic phosphonate metabolic process [GO:0019634]","ATP binding [GO:0005524]; ribose 1,5-bisphosphate phosphokinase activity [GO:0033863]",GO:0005524; GO:0006015; GO:0019634; GO:0033863,2.7.4.23,,,,
A0A140NCS4,A0A140NCS4_ECOBD,unreviewed,Sulfofructose kinase (SF kinase) (EC 2.7.1.184),ECBD_4144,Escherichia coli (strain B / BL21-DE3),298,6-sulfoquinovose(1-) catabolic process [GO:1902777],,6-deoxy-6-sulfofructose kinase activity [GO:0061594]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; 6-sulfoquinovose(1-) catabolic process [GO:1902777],6-deoxy-6-sulfofructose kinase activity [GO:0061594]; ATP binding [GO:0005524]; kinase activity [GO:0016301],GO:0005524; GO:0016301; GO:0061594; GO:1902777,2.7.1.184,,,,
A0A140SSA0,A0A140SSA0_ECOBD,unreviewed,Sulfoquinovose isomerase (SQ isomerase) (EC 5.3.1.31),ECBD_4147,Escherichia coli (strain B / BL21-DE3),413,6-sulfoquinovose(1-) catabolic process [GO:1902777],,sulfoquinovose isomerase activity [GO:0061593]; 6-sulfoquinovose(1-) catabolic process [GO:1902777],sulfoquinovose isomerase activity [GO:0061593],GO:0061593; GO:1902777,5.3.1.31,,,,
A0A140NHB7,A0A140NHB7_ECOBD,unreviewed,Sulfofructosephosphate aldolase (SFP aldolase) (EC 4.1.2.57),ECBD_4146,Escherichia coli (strain B / BL21-DE3),292,6-sulfoquinovose(1-) catabolic process [GO:1902777],,6-deoxy-6-sulfofructose-1-phosphate aldolase activity [GO:0061595]; 6-sulfoquinovose(1-) catabolic process [GO:1902777],6-deoxy-6-sulfofructose-1-phosphate aldolase activity [GO:0061595],GO:0061595; GO:1902777,4.1.2.57,,,,
A0A140NEQ3,A0A140NEQ3_ECOBD,unreviewed,3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373),ECBD_4145,Escherichia coli (strain B / BL21-DE3),298,6-sulfoquinovose(1-) catabolic process [GO:1902777],,3-sulfolactaldehyde reductase activity [GO:0061596]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; 6-sulfoquinovose(1-) catabolic process [GO:1902777],3-sulfolactaldehyde reductase activity [GO:0061596]; NAD binding [GO:0051287]; NADP binding [GO:0050661],GO:0050661; GO:0051287; GO:0061596; GO:1902777,1.1.1.373,,,,
A0A140N5I1,A0A140N5I1_ECOBD,unreviewed,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),folE ECBD_1505,Escherichia coli (strain B / BL21-DE3),222,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]",,"GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; zinc ion binding [GO:0008270]; 7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]",GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; zinc ion binding [GO:0008270],GO:0003934; GO:0005525; GO:0006730; GO:0008270; GO:0035998; GO:0046654,3.5.4.16,,,,
A0A140N646,A0A140N646_ECOBD,unreviewed,Succinate CoA transferase (EC 3.1.2.1),ECBD_0818,Escherichia coli (strain B / BL21-DE3),492,"acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]; propionate metabolic process, methylcitrate cycle [GO:0019679]",,"acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]; propionate metabolic process, methylcitrate cycle [GO:0019679]",acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986],GO:0003986; GO:0006083; GO:0006084; GO:0008775; GO:0019679,3.1.2.1,,,,
A0A140NA84,A0A140NA84_ECOBD,unreviewed,Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase),ECBD_1362,Escherichia coli (strain B / BL21-DE3),714,acetyl-CoA biosynthetic process [GO:0006085],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; phosphate acetyltransferase activity [GO:0008959]; acetyl-CoA biosynthetic process [GO:0006085],phosphate acetyltransferase activity [GO:0008959],GO:0005737; GO:0006085; GO:0008959,2.3.1.8,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|PIRNR:PIRNR006107}.,,
A0A140N7M5,A0A140N7M5_ECOBD,unreviewed,Acetate kinase (EC 2.7.2.1) (Acetokinase),ackA ECBD_1363,Escherichia coli (strain B / BL21-DE3),400,acetyl-CoA biosynthetic process [GO:0006085]; organic acid metabolic process [GO:0006082],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; acetyl-CoA biosynthetic process [GO:0006085]; organic acid metabolic process [GO:0006082],acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287],GO:0000287; GO:0005524; GO:0005737; GO:0006082; GO:0006085; GO:0008776,2.7.2.1,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00020, ECO:0000256|SAAS:SAAS00011667}.",,
