ProtGroup,Counter,Accession,Identical,Similar,OtherLoci,Filter,Coverage,SeqLength,MW,Description,CountsTot,UniqueTot,UniqFrac,Total_TMT1,Total_TMT2,Unique_TMT1,Unique_TMT2,Corrected_TMT1,Corrected_TMT2,PSMs_Used_TMT1,TotInt_126C_TMT1,TotInt_127N_TMT1,TotInt_127C_TMT1,TotInt_128N_TMT1,TotInt_128C_TMT1,TotInt_129N_TMT1,TotInt_129C_TMT1,TotInt_130N_TMT1,TotInt_130C_TMT1,TotInt_131N_TMT1,PSMs_Used_TMT2,TotInt_126C_TMT2,TotInt_127N_TMT2,TotInt_127C_TMT2,TotInt_128N_TMT2,TotInt_128C_TMT2,TotInt_129N_TMT2,TotInt_129C_TMT2,TotInt_130N_TMT2,TotInt_130C_TMT2,TotInt_131N_TMT2
19,1,CONT_092|gi|71528|pir||KRHU0 (+2),CONT_092|gi|71528|pir||KRHU0&CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN&EXTRA_0009, ,"CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016",contaminant,42.8,593,59527,"keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].",107,63,0.589,48,59,31,32,45.1,55.268,31,3922701.647,3540780.807,4646825.96,3939384.942,5346097.446,4244124.251,4056987.187,3765322.737,3001513.775,4410995.761,32,7236863.844,3112913.726,6092276.375,4812516.032,6120876.033,5642462.871,6002120.764,5501771.503,6442868.648,6449190.137
21,1,CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, , ,"CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016",contaminant,10.3,456,49167,"KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].",30,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,CONT_102|gi|88044|pir||S01068 (+1),CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, ,"CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666",contaminant,5.9,408,45507,"keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].",6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,CONT_123|gi|125091|sp|P25690|K1M2_SHEEP (+1),CONT_123|gi|125091|sp|P25690|K1M2_SHEEP&EXTRA_0022, ,"CONT_066|gi|386644|bbs|134977, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, EXTRA_0016",contaminant,5.2,404,46062,"KERATIN, TYPE I MICROFIBRILLAR, 47.6 KD (LOW-SULFUR KERATIN) [Ovis aries].",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, , ,"CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940",contaminant,20.9,564,60066,"KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].",34,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,CONT_142|gi|88053|pir||A29666, , ,"CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940",contaminant,6.7,629,64447,"keratin, 65K type II cytoskeletal [Homo sapiens].",13,1,0.077,7,6,0,1,0.156,1.099,0,0,0,0,0,0,0,0,0,0,0,1,14618.19922,8841.987305,17527.31641,15774.44238,20618.12891,16358.10449,16481.62109,19148.85547,20791.09766,19864.39063
28,1,CONT_152|gi|2135530|pir||S60034 (+1),CONT_152|gi|2135530|pir||S60034&EXTRA_0012, ,"CONT_066|gi|386644|bbs|134977, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016",contaminant,7,416,47349,"keratin Ha1, type I, hair [Homo sapiens].",8,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,CONT_153|gi|1181994 (+1),CONT_153|gi|1181994&EXTRA_0013, ,"CONT_066|gi|386644|bbs|134977, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016",contaminant,7.9,405,45828,(X81419) hair type I acidic keratin [Homo sapiens].,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,EXTRA_0016, , ,"CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016", ,9.6,467,52247,"[sp|O76013|KRT36_HUMAN] Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=1 SV=1",7,1,0.143,3,4,0,1,1.024,1.035,0,0,0,0,0,0,0,0,0,0,0,1,273159.9688,347254.1563,574543.6875,355237.625,435626.4375,322115,404958.9375,537168.6875,435740.6563,386809.0625
33,1,EXTRA_0117 (+1),EXTRA_0117&tr|A0A140NC65|A0A140NC65_ECOBD, , , ,64.1,537,60673,[sp|00001|Release] Factor 3,172,172,1,79,93,79,93,79,93,79,36017121.09,10013921.45,14510536.35,10113302.36,93123633.35,36839355.62,16525062.41,16391233.83,11179436.37,104441546.5,93,98484058.64,11047386.47,19822495.86,13798360.97,37746682.94,140034763.5,16005746.64,22027310.95,13053672.33,40137697.14
34,1,EXTRA_0118, , , , ,96.3,401,44243,[sp|00002|EF-Tu],1672,1672,1,795,877,795,877,795,877,795,770501861.6,310187808.7,430182262.3,1198104084,873048144.7,830043158.1,387244640.5,466904825.7,1272716369,835745082.6,877,1042188640,1608112345,538468588.5,424059344.2,950036046.9,1326622584,1605426019,541229488.5,398029849.8,976137991.6
35,1,EXTRA_0119, , , , ,92.1,290,31383,[sp|00003|EF-Ts],1483,1483,1,667,816,667,816,667,816,667,800444856.4,99746806.77,171238389,1605665716,993902736.3,861816849.5,199699635.1,171452964.4,1608940071,1051738575,816,1177428406,1830278963,225703561.2,244085701.7,919339801.1,1436986137,1916725336,227928935.9,189872694.8,935322866.3
37,1,EXTRA_0121, , , , ,64.5,606,67529,[sp|00005|Elongation] Factor 4,181,181,1,88,93,88,93,88,93,88,30534691.67,11341942.35,16040140.07,9947476.33,75965087.55,31076013.57,16621994.31,17004741.76,11031401.15,83006550.39,93,79858804.82,10177593.95,18949713.28,13991248.07,32187529.27,102104042.3,14833056.83,19722989.24,12719358.32,34272451.89
40,1,EXTRA_0125, , , , ,77.1,188,21663,[sp|00009|Initiation] Factor 3,152,152,1,68,84,68,84,68,84,68,54204231.86,41816259.43,28264399.95,23368601.74,113615682.9,53227231.13,48873012.94,31281183.27,22908979.14,99320401.93,84,190741566.3,33066645.64,50092240.37,62740220.05,82628436.01,198111192.1,41598921.9,48812286.89,63363821.35,86203203.26
41,1,EXTRA_0126, , , , ,83.3,711,78540,[sp|00010|Elongation] Factor G,916,916,1,415,501,415,501,415,501,415,489285264.4,255357260.9,310711381.3,247115159.2,1061750586,495944651.7,316251509.7,367626618.5,272869128.7,937890350.9,501,1226745514,306140680.7,390445933.6,300269746.9,564817273.2,1418880986,354213177,414940937.5,290736023.7,594537353.6
42,1,EXTRA_0127, , , , ,80,80,9349,[sp|00011|Initiation] Factor 1,148,148,1,66,82,66,82,66,82,66,51978165.6,7141880.046,13119442.66,4222988.223,173185311.9,51632192.61,17739619,14570969.66,8321504.563,171790406.9,82,150826250.3,4440832.65,17213875.1,8584151.701,45211885.11,155572883.7,11658265.5,16418177.3,7094039.729,49116323.3
43,1,EXTRA_0130, , , , ,65.9,246,27931,[sp|00014|Cyan] Fluorescent Protein,481,481,1,230,251,230,251,230,251,230,260156626.8,858451704.4,33523012.87,73456156.7,30334790.2,236618611.8,1005180659,21335963.04,52309782.2,2644114.041,251,4803984.527,10654012.76,7289741.032,850549324.6,215939330.4,59800161.07,47319026.72,2857514.837,922568408.9,241670790.8
44,1,REV_A0A140N4C7, , , ,reversed,3,702,79372,REVERSED.,3,3,1,2,1,2,1,2,1,2,375973.3867,388310.8945,367716.1953,305137.7656,323991.1328,462220.668,453081.4961,495490.1289,423779.6641,299548.3633,1,51068.11719,46460.38672,65151.23438,42748.53906,64993.02734,76492.09375,57534.67578,74904.85938,54665.55469,51138.20313
45,1,REV_A0A140N4K3, , , ,reversed,13.6,118,13570,REVERSED.,4,4,1,3,1,3,1,3,1,3,1841309.25,2144838.336,2588736.602,1163710.434,1235438.266,1753725.867,2165059.66,2865571.023,1126172.801,942395.0195,1,2186844.75,2934124.5,4603759.5,4286492,3731317.5,3471778,2828271.75,4001031,4672055.5,3585063.25
46,1,REV_A0A140N4S5, , , ,reversed,8.9,280,31873,REVERSED.,7,7,1,3,4,3,4,3,4,3,85131.45703,127314.6558,111844.0071,103096.3931,56629.01086,71710.09009,287276.1553,39191.60352,69231.83398,49578.50781,4,72435.6958,38721.31934,77565.79053,155611.6904,65351.80225,86829.66431,70025.52686,55763.40307,116836.3115,67915.67334
47,1,REV_A0A140N4T4, , , ,reversed,3.6,659,71843,REVERSED.,3,3,1,1,2,1,2,1,2,1,619202.6875,343103.2813,999921.9375,439664.0313,415735.5625,688100.9375,516263.2813,603904.875,573983.9375,806766.875,2,593444.25,242546.2969,1240798.375,506296.25,906493.8125,733070.8125,556785.3125,1693280.625,699191.9375,1033426.688
48,1,REV_A0A140N5C8, , , ,reversed,1.2,1653,181527,REVERSED.,2,2,1,2,0,2,0,2,0,2,173146.4551,216811.4434,153051.2344,187217.2539,177382.8574,210182.2871,235493.5605,208309.3945,192470.0957,137296.3633,0,0,0,0,0,0,0,0,0,0,0
49,1,REV_A0A140N6I8, , , ,reversed,6.4,419,46624,REVERSED.,3,3,1,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,270765.2188,175360.0664,259606.0547,304931.9453,311621.2969,264176.3672,273268.9219,313774.1094,282538.2734,420877.5313
50,1,REV_A0A140N6N3, , , ,reversed,8,237,26995,REVERSED.,2,2,1,2,0,2,0,2,0,2,19057.23633,20761.21777,29866.49756,26622.03516,27160.96777,24155.56506,24745.91211,30617.61133,26266.98975,23908.22217,0,0,0,0,0,0,0,0,0,0,0
51,1,REV_A0A140N6X1, , , ,reversed,5.8,608,66888,REVERSED.,4,4,1,3,1,3,1,3,1,3,587979.0762,57456.2207,129796.3906,21043.60352,1832255.887,600332.8359,180928.2578,171601.2773,70793.56836,2168195.566,1,3225690.75,118010.3438,312631.9375,126271.5,964105.3125,4558961,194117.1563,339469.5938,52210.4375,979989.625
52,1,REV_A0A140N745, , , ,reversed,5.2,600,68724,REVERSED.,2,2,1,2,0,2,0,2,0,2,400543.0781,525150.6719,468059.6563,317764.5625,332962.4531,438649.2656,460431.6094,557546.5938,350461.0781,306167.875,0,0,0,0,0,0,0,0,0,0,0
53,1,REV_A0A140N7F8, , , ,reversed,6.8,190,21532,REVERSED.,4,4,1,1,3,1,3,1,3,1,388808.75,132211,264774.7188,707400.8125,439382.7188,439116.0938,239300.7969,199605.0313,734263.875,539225.0625,3,1125152.469,1078693.219,585883.125,452592.1719,1038741.469,1208344.594,1823317.688,671459.6563,485732.125,1074983.906
54,1,REV_A0A140N818, , , ,reversed,5.8,308,34639,REVERSED.,3,3,1,2,1,2,1,2,1,2,95160.33984,114710.8789,94879.82422,99169.92578,88022.42187,90985.68359,134668.3281,96186.95117,100957.1055,74061.81641,1,24189.14063,26291.38867,23832.58398,34287.03906,26232.69336,32226.11328,36327.06641,27715.63086,28444.45313,68386.64844
55,1,REV_A0A140N8F7, , , ,reversed,6,467,51991,REVERSED.,3,3,1,2,1,2,1,2,1,2,31537.89014,28605.33106,33755.04346,34498.65527,30448.07227,32985.02734,36660.44922,34404.51074,29406.49854,32303.7959,1,44669.71875,53956.67188,55036.37891,42018.3125,52567.48047,52959.8125,60585.16797,51343.99219,52052.51563,64133.37891
56,1,REV_A0A140N8G8, , , ,reversed,4,427,49450,REVERSED.,5,5,1,2,3,2,3,2,3,2,163470.2969,88792.41211,125300.5996,237006.2969,149111.9727,192042.6836,114320.4277,129146.8965,248472.6211,189675.2734,3,176338.0664,205252.8242,121377.1445,116448.7878,167457.3867,212605.1914,271424.038,129349.5114,120173.5669,191134.9404
57,1,REV_A0A140N974, , , ,reversed,3.5,807,92206,REVERSED.,5,5,1,3,2,3,2,3,2,3,129532.7109,54565.87787,68364.20117,474274.9177,167555.0396,152560.9531,87192.18079,63890.41602,124474.1914,127479.1418,2,192951.8086,188698.5469,70111.85547,119549.8398,319426.8906,166310.1992,356091.4688,52071.55371,48690.99219,114264.4277
58,1,REV_A0A140N988, , , ,reversed,7.6,384,41624,REVERSED.,2,2,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5806.626831,6091.306763,5976.040039,3901.250976,7122.914795,6513.614014,6411.661743,5486.417969,3123.239258,7395.989746
59,1,REV_A0A140N9R6, , , ,reversed,5.7,644,72475,REVERSED.,3,3,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,46502.75391,52983.60156,88911.92188,88774.0625,72157.10938,59287.31641,69882.03516,79609.52344,83184.19141,81349.91016
60,1,REV_A0A140NA18, , , ,reversed,7.2,320,35476,REVERSED.,2,2,1,2,0,2,0,2,0,2,33052.70361,47032.62134,30914.38721,17340.35425,23502.21802,34402.5282,44033.80908,61946.07117,20850.71289,23827.96692,0,0,0,0,0,0,0,0,0,0,0
61,1,REV_A0A140NA61, , , ,reversed,5,360,40146,REVERSED.,3,3,1,2,1,2,1,2,1,2,18336.48584,27763.82275,24895.53369,16250.56787,13140.31958,24815.92578,18382.24121,28763.98389,21303.44824,14185.90967,1,11551.0127,14665.16406,14748.37695,16042.83789,15460.375,21489.5293,8108.195312,14145.4082,16326.07813,15311.24414
