New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Mon Nov 11 12:21:04 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT1	Total_TMT2	Unique_TMT1	Unique_TMT2	Corrected_TMT1	Corrected_TMT2	PSMs_Used_TMT1	TotInt_126C_TMT1	TotInt_127N_TMT1	TotInt_127C_TMT1	TotInt_128N_TMT1	TotInt_128C_TMT1	TotInt_129N_TMT1	TotInt_129C_TMT1	TotInt_130N_TMT1	TotInt_130C_TMT1	TotInt_131N_TMT1	PSMs_Used_TMT2	TotInt_126C_TMT2	TotInt_127N_TMT2	TotInt_127C_TMT2	TotInt_128N_TMT2	TotInt_128C_TMT2	TotInt_129N_TMT2	TotInt_129C_TMT2	TotInt_130N_TMT2	TotInt_130C_TMT2	TotInt_131N_TMT2
19	1	CONT_092|gi|71528|pir||KRHU0 (+2)	CONT_092|gi|71528|pir||KRHU0&CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN&EXTRA_0009	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016	contaminant	42.8	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	107	63	0.589	48	59	31	32	45.100	55.268	31	3922701.6467310004	3540780.806642	4646825.959719	3939384.942259	5346097.445802	4244124.250978	4056987.186888	3765322.7373039997	3001513.7749030003	4410995.760988001	32	7236863.843993999	3112913.725831999	6092276.375366	4812516.031739	6120876.0329599995	5642462.871337001	6002120.76367	5501771.502928998	6442868.647948001	6449190.1372070005
21	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016	contaminant	10.3	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	30	0	0.000	11	19	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	5.9	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	6	0	0.000	4	2	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	1	CONT_123|gi|125091|sp|P25690|K1M2_SHEEP (+1)	CONT_123|gi|125091|sp|P25690|K1M2_SHEEP&EXTRA_0022	 	CONT_066|gi|386644|bbs|134977, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, EXTRA_0016	contaminant	5.2	404	46062	KERATIN, TYPE I MICROFIBRILLAR, 47.6 KD (LOW-SULFUR KERATIN) [Ovis aries].	3	0	0.000	3	0	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	20.9	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	34	0	0.000	20	14	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	1	CONT_142|gi|88053|pir||A29666	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	6.7	629	64447	keratin, 65K type II cytoskeletal [Homo sapiens].	13	1	0.077	7	6	0	1	0.156	1.099	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	14618.199219	8841.987305	17527.316406	15774.442383000001	20618.128906	16358.104491999999	16481.621094	19148.855469	20791.097656	19864.390625
28	1	CONT_152|gi|2135530|pir||S60034 (+1)	CONT_152|gi|2135530|pir||S60034&EXTRA_0012	 	CONT_066|gi|386644|bbs|134977, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016	contaminant	7.0	416	47349	keratin Ha1, type I, hair [Homo sapiens].	8	0	0.000	5	3	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1	CONT_153|gi|1181994 (+1)	CONT_153|gi|1181994&EXTRA_0013	 	CONT_066|gi|386644|bbs|134977, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016	contaminant	7.9	405	45828	(X81419) hair type I acidic keratin [Homo sapiens].	7	0	0.000	4	3	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	1	EXTRA_0016	 	 	CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016	 	9.6	467	52247	[sp|O76013|KRT36_HUMAN] Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=1 SV=1	7	1	0.143	3	4	0	1	1.024	1.035	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	273159.96875	347254.15625	574543.6875	355237.625	435626.4375	322115.0	404958.9375	537168.6875	435740.65625	386809.0625
33	1	EXTRA_0117 (+1)	EXTRA_0117&tr|A0A140NC65|A0A140NC65_ECOBD	 	 	 	64.1	537	60673	[sp|00001|Release] Factor 3	172	172	1.000	79	93	79	93	79.000	93.000	79	36017121.09253	10013921.447510002	14510536.345827	10113302.356508002	93123633.35107599	36839355.616946	16525062.414674	16391233.830322998	11179436.369384998	104441546.461426	93	98484058.63623002	11047386.466311995	19822495.855714988	13798360.965335995	37746682.941406	140034763.532228	16005746.643312998	22027310.953614	13053672.328125997	40137697.13720801
34	1	EXTRA_0118	 	 	 	 	96.3	401	44243	[sp|00002|EF-Tu]	1672	1672	1.000	795	877	795	877	795.000	877.000	795	770501861.6397078	310187808.6899469	430182262.28626096	1198104084.1020594	873048144.7051413	830043158.0627527	387244640.474788	466904825.68787754	1272716369.4936028	835745082.642896	877	1042188640.406443	1608112344.9364145	538468588.4515406	424059344.2132015	950036046.9299387	1326622584.048231	1605426018.7066753	541229488.4690568	398029849.7991416	976137991.5996804
35	1	EXTRA_0119	 	 	 	 	92.1	290	31383	[sp|00003|EF-Ts]	1483	1483	1.000	667	816	667	816	667.000	816.000	667	800444856.3859974	99746806.76843596	171238388.98815903	1605665715.5838063	993902736.286752	861816849.5150759	199699635.094732	171452964.36292392	1608940070.5736248	1051738575.1992872	816	1177428405.9838927	1830278963.088582	225703561.19624382	244085701.740793	919339801.1118892	1436986137.4096835	1916725336.265756	227928935.89337716	189872694.84943187	935322866.334309
37	1	EXTRA_0121	 	 	 	 	64.5	606	67529	[sp|00005|Elongation] Factor 4	181	181	1.000	88	93	88	93	88.000	93.000	88	30534691.668822996	11341942.354736999	16040140.065308994	9947476.329960002	75965087.54980499	31076013.570313	16621994.306578998	17004741.757935997	11031401.145449	83006550.38574499	93	79858804.82056303	10177593.950927999	18949713.284670003	13991248.073733	32187529.272946995	102104042.34570502	14833056.834229996	19722989.240358002	12719358.319951992	34272451.891968
40	1	EXTRA_0125	 	 	 	 	77.1	188	21663	[sp|00009|Initiation] Factor 3	152	152	1.000	68	84	68	84	68.000	84.000	68	54204231.857301	41816259.43340901	28264399.948607992	23368601.73534699	113615682.94726601	53227231.126223005	48873012.941893995	31281183.268189	22908979.138060004	99320401.932617	84	190741566.31640497	33066645.636965998	50092240.373047	62740220.047122985	82628436.01367602	198111192.08007798	41598921.904782	48812286.88647899	63363821.35046499	86203203.25989302
41	1	EXTRA_0126	 	 	 	 	83.3	711	78540	[sp|00010|Elongation] Factor G	916	916	1.000	415	501	415	501	415.000	501.000	415	489285264.3510811	255357260.88623017	310711381.3057911	247115159.22228703	1061750585.5091611	495944651.65564	316251509.73327094	367626618.51288503	272869128.7060641	937890350.924691	501	1226745513.920229	306140680.746341	390445933.6344079	300269746.937744	564817273.1899482	1418880986.1414897	354213176.97450286	414940937.53759885	290736023.65612686	594537353.5742247
42	1	EXTRA_0127	 	 	 	 	80.0	80	9349	[sp|00011|Initiation] Factor 1	148	148	1.000	66	82	66	82	66.000	82.000	66	51978165.60205099	7141880.045532999	13119442.660644002	4222988.2228999995	173185311.93408093	51632192.611145005	17739619.000367995	14570969.662113998	8321504.563296999	171790406.877928	82	150826250.29223603	4440832.649662	17213875.096920002	8584151.700681	45211885.111204	155572883.73266897	11658265.500303999	16418177.303831005	7094039.728639001	49116323.29907402
43	1	EXTRA_0130	 	 	 	 	65.9	246	27931	[sp|00014|Cyan] Fluorescent Protein	481	481	1.000	230	251	230	251	230.000	251.000	230	260156626.77795395	858451704.4165039	33523012.865048002	73456156.70209903	30334790.198241998	236618611.7750241	1005180658.957402	21335963.036626995	52309782.20142298	2644114.0410179994	251	4803984.526985	10654012.756962998	7289741.0318570025	850549324.5852138	215939330.37751004	59800161.06933799	47319026.72088998	2857514.836787001	922568408.869632	241670790.8057291
44	1	REV_A0A140N4C7	 	 	 	reversed	3.0	702	79372	REVERSED.	3	3	1.000	2	1	2	1	2.000	1.000	2	375973.386719	388310.894531	367716.195312	305137.765625	323991.132812	462220.667969	453081.496094	495490.128906	423779.664062	299548.363281	1	51068.117188	46460.386719	65151.234375	42748.539062	64993.02734400001	76492.09375	57534.67578099999	74904.859375	54665.554688	51138.203125
45	1	REV_A0A140N4K3	 	 	 	reversed	13.6	118	13570	REVERSED.	4	4	1.000	3	1	3	1	3.000	1.000	3	1841309.25	2144838.335938	2588736.601563	1163710.433594	1235438.265625	1753725.8671869999	2165059.660157	2865571.023437	1126172.800782	942395.0195309999	1	2186844.75	2934124.5	4603759.5	4286492.0	3731317.5	3471778.0	2828271.75	4001031.0	4672055.5	3585063.25
46	1	REV_A0A140N4S5	 	 	 	reversed	8.9	280	31873	REVERSED.	7	7	1.000	3	4	3	4	3.000	4.000	3	85131.45703100001	127314.655762	111844.00707899999	103096.39306599999	56629.010863999996	71710.090088	287276.155273	39191.603516	69231.833984	49578.507812	4	72435.6958	38721.319336	77565.790527	155611.69043	65351.80224600001	86829.66430599999	70025.526855	55763.403074999995	116836.31152300001	67915.67334000001
47	1	REV_A0A140N4T4	 	 	 	reversed	3.6	659	71843	REVERSED.	3	3	1.000	1	2	1	2	1.000	2.000	1	619202.6875	343103.28125	999921.9375	439664.03125	415735.5625	688100.9375	516263.28125	603904.875	573983.9375	806766.875	2	593444.25	242546.296875	1240798.375	506296.25	906493.8125	733070.8125	556785.3125	1693280.625	699191.9375	1033426.6875
48	1	REV_A0A140N5C8	 	 	 	reversed	1.2	1653	181527	REVERSED.	2	2	1.000	2	0	2	0	2.000	0.000	2	173146.455078	216811.443359	153051.234375	187217.253906	177382.857422	210182.287109	235493.560547	208309.394531	192470.095703	137296.363281	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	1	REV_A0A140N6I8	 	 	 	reversed	6.4	419	46624	REVERSED.	3	3	1.000	0	3	0	3	0.000	3.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	270765.21875	175360.066406	259606.054687	304931.945312	311621.296875	264176.367188	273268.921875	313774.109375	282538.273437	420877.53125
50	1	REV_A0A140N6N3	 	 	 	reversed	8.0	237	26995	REVERSED.	2	2	1.000	2	0	2	0	2.000	0.000	2	19057.236328	20761.217773	29866.497559	26622.035155999998	27160.967773	24155.565063000002	24745.91211	30617.611327999995	26266.989747	23908.222168	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	1	REV_A0A140N6X1	 	 	 	reversed	5.8	608	66888	REVERSED.	4	4	1.000	3	1	3	1	3.000	1.000	3	587979.076172	57456.220703000006	129796.390625	21043.603516	1832255.886719	600332.835938	180928.257813	171601.277344	70793.568359	2168195.566406	1	3225690.75	118010.34375	312631.9375	126271.5	964105.3125	4558961.0	194117.15625	339469.59375	52210.4375	979989.625
52	1	REV_A0A140N745	 	 	 	reversed	5.2	600	68724	REVERSED.	2	2	1.000	2	0	2	0	2.000	0.000	2	400543.078125	525150.671875	468059.65625	317764.5625	332962.453125	438649.265625	460431.609375	557546.59375	350461.078125	306167.875	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	1	REV_A0A140N7F8	 	 	 	reversed	6.8	190	21532	REVERSED.	4	4	1.000	1	3	1	3	1.000	3.000	1	388808.75	132211.0	264774.71875	707400.8125	439382.71875	439116.09375	239300.796875	199605.03125	734263.875	539225.0625	3	1125152.46875	1078693.21875	585883.125	452592.171875	1038741.46875	1208344.59375	1823317.6875	671459.65625	485732.125	1074983.90625
